repo_owner,repo_name,repo_license,license_category,rows,source_url_count,sample_source_url
Quantinuum,tket,Apache-2.0,permissive,432,27,https://github.com/Quantinuum/tket/blob/main/pytket/pytket/backends/backendresult.py
Quantinuum,pytket-qiskit,Apache-2.0,permissive,426,9,https://github.com/Quantinuum/pytket-qiskit/blob/main/pytket/extensions/qiskit/backends/crosstalk_model.py
qclib,qclib,Apache-2.0,permissive,426,31,https://github.com/qclib/qclib/blob/master/qclib/ansatzes/qcnn.py
GabrielPontolillo,qucheck,MIT,permissive,408,60,https://github.com/GabrielPontolillo/qucheck/blob/main/case_studies/MITRE_unit_test_baseline/grover.py
Qiskit,qiskit-tutorials,Apache-2.0,permissive,402,11,https://github.com/Qiskit/qiskit-tutorials/blob/master/tutorials/algorithms/06_grover.ipynb
Abdul9010150809,quantum-finance-swaption-pricing,MIT,permissive,396,12,https://github.com/Abdul9010150809/quantum-finance-swaption-pricing/blob/main/01-research-development/src/data/quantum_feature_engineer.py
HeavenzFire,EntangledMultimodalSystem-3,MIT,permissive,396,25,https://github.com/HeavenzFire/EntangledMultimodalSystem-3/blob/main/HyperIntelligentFramework.py
qiskit-community,qiskit-experiments,Apache-2.0,permissive,390,27,https://github.com/qiskit-community/qiskit-experiments/blob/main/qiskit_experiments/framework/backend_timing.py
qiskit-community,qiskit-algorithms,Apache-2.0,permissive,384,14,https://github.com/qiskit-community/qiskit-algorithms/blob/main/qiskit_algorithms/amplitude_amplifiers/grover.py
munich-quantum-toolkit,bench,MIT,permissive,378,31,https://github.com/munich-quantum-toolkit/bench/blob/main/src/mqt/bench/benchmarks/ae.py
sQUlearn,squlearn,Apache-2.0,permissive,378,7,https://github.com/sQUlearn/squlearn/blob/main/src/squlearn/encoding_circuit/circuit_library/highdim_encoding_circuit.py
ishwarya145,project,Apache-2.0,permissive,372,13,https://github.com/ishwarya145/project/blob/main/qiskit_machine_learning/algorithms/inference/qbayesian.py
qiskit-community,qiskit-aqua,Apache-2.0,permissive,366,44,https://github.com/qiskit-community/qiskit-aqua/blob/main/qiskit/aqua/algorithms/amplitude_amplifiers/grover.py
GT-Quantum-Computing-Association,LogicalQ,MIT,permissive,360,18,https://github.com/GT-Quantum-Computing-Association/LogicalQ/blob/main/LogicalQ/Library/Gates.py
vutuanhai237,qoop,MIT,permissive,354,5,https://github.com/vutuanhai237/qoop/blob/master/backend/utilities.py
kaistermaister1,QNNs,MIT,permissive,342,19,https://github.com/kaistermaister1/QNNs/blob/main/DEMOS/GYRO/gyro_comparison.py
MarcoBarroca,q4c-team,MIT,permissive,336,46,https://github.com/MarcoBarroca/q4c-team/blob/main/Mg+CO2/qasm_sim_hw_3.py
KOSASIH,QuantumNet-Core,MIT,permissive,324,47,https://github.com/KOSASIH/QuantumNet-Core/blob/main/benchmarks/benchmark_dimensional.py
bakaxbaka,CryptoAutoPilot,MIT,permissive,324,1,https://github.com/bakaxbaka/CryptoAutoPilot/blob/main/quantum_assault.py
Qiskit,qiskit-aer,Apache-2.0,permissive,312,13,https://github.com/Qiskit/qiskit-aer/blob/main/qiskit_aer/backends/aer_compiler.py
Silverviles,nexar,MIT,permissive,306,9,https://github.com/Silverviles/nexar/blob/main/ai-code-converter/modal_training_utils/base_pairs/arithmetic/pair_001/quantum.py
qiskit-community,qiskit-machine-learning,Apache-2.0,permissive,306,14,https://github.com/qiskit-community/qiskit-machine-learning/blob/main/qiskit_machine_learning/algorithms/inference/qbayesian.py
JoSQUANTUM,pygrnd,Apache-2.0,permissive,288,6,https://github.com/JoSQUANTUM/pygrnd/blob/main/pygrnd/qc/brm.py
SpinQTech,SpinQit,Apache-2.0,permissive,288,32,https://github.com/SpinQTech/SpinQit/blob/main/example/qasm_backend_example.py
pnkpune,Quantum-Policy-Evaluation-on-IBM-and-IONQ-Hardware,MIT,permissive,276,6,https://github.com/pnkpune/Quantum-Policy-Evaluation-on-IBM-and-IONQ-Hardware/blob/main/IBM_IAE.py
qiskit-community,ibm-quantum-challenge-fall-2021,Apache-2.0,permissive,276,15,https://github.com/qiskit-community/ibm-quantum-challenge-fall-2021/blob/main/content/challenge-4/challenge-4-ja.ipynb
Quantinuum,guppylang,Apache-2.0,permissive,270,22,https://github.com/Quantinuum/guppylang/blob/main/examples/ghz_and_graph.ipynb
QCFD-Lab,qlbm,MPL-2.0,permissive,258,22,https://github.com/QCFD-Lab/qlbm/blob/main/qlbm/components/ab/ab.py
Quantinuum,qiskit-community-tutorials,Apache-2.0,permissive,258,26,https://github.com/Quantinuum/qiskit-community-tutorials/blob/master/algorithms/SimpleIntegral_AEwoPE.ipynb
Serock3,Master-Thesis-QEC-simulation,MIT,permissive,246,12,https://github.com/Serock3/Master-Thesis-QEC-simulation/blob/master/decay_comparison.py
qcmet,qcmet,Apache-2.0,permissive,246,14,https://github.com/qcmet/qcmet/blob/main/legacy/_helpers/circuit_submitter.py
Quantinuum,selene,Apache-2.0,permissive,240,19,https://github.com/Quantinuum/selene/blob/main/hatch_build.py
Jij-Inc,Qamomile,Apache-2.0,permissive,234,4,https://github.com/Jij-Inc/Qamomile/blob/main/qamomile/qiskit/emitter.py
jdanielescanez,quantum-solver,MIT,permissive,228,27,https://github.com/jdanielescanez/quantum-solver/blob/main/src/ai/models/qs_vqc_z_ep.py
microsoft,qdk,MIT,permissive,228,1,https://github.com/microsoft/qdk/blob/main/source/pip/tests-integration/interop_qiskit/test_circuits/test_circuits.py
Quantinuum,pytket-dqc,Apache-2.0,permissive,222,11,https://github.com/Quantinuum/pytket-dqc/blob/main/src/pytket_dqc/allocators/brute.py
phels23,Q-FLAIR,Apache-2.0,permissive,216,11,https://github.com/phels23/Q-FLAIR/blob/main/QNN/OptimizedParameters/pofc_cobyla.py
EstelYang,QCircuitBench,MIT,permissive,210,15,https://github.com/EstelYang/QCircuitBench/blob/main/Algorithm_Design/Quantum_Computing/grover/grover_generation.py
UCLA-SEAL,Change-Cover,MIT,permissive,210,3,https://github.com/UCLA-SEAL/Change-Cover/blob/main/pr-test-reviews/reviews/004/qiskit/13922/test_0/test_1_integrated.py
mcoggins96,Quantum-Computing-UK-Repository,CC0-1.0,permissive,210,19,https://github.com/mcoggins96/Quantum-Computing-UK-Repository/blob/main/Advanced/Phase_estimation.py
munich-quantum-toolkit,core,MIT,permissive,210,3,https://github.com/munich-quantum-toolkit/core/blob/main/python/mqt/core/plugins/qiskit/converters.py
Infleqtion,client-superstaq,Apache-2.0,permissive,204,6,https://github.com/Infleqtion/client-superstaq/blob/main/qiskit-superstaq/qiskit_superstaq/custom_gates.py
Quantinuum,pytket-aqt,Apache-2.0,permissive,204,16,https://github.com/Quantinuum/pytket-aqt/blob/main/examples/MultiZoneBackend/routing.ipynb
C2-Q,C2Q,Apache-2.0,permissive,198,14,https://github.com/C2-Q/C2Q/blob/main/src/algorithms/grover.py
azhar-ikhtiarudin,measurement-reduction-adapt-vqe,Apache-2.0,permissive,198,4,https://github.com/azhar-ikhtiarudin/measurement-reduction-adapt-vqe/blob/main/algorithms/adapt_vqe.py
hydraresearch,qzkp,MIT,permissive,198,7,https://github.com/hydraresearch/qzkp/blob/main/scripts/validation/qiskit_executor.py
mwpwalshe,qb-compiler,Apache-2.0,permissive,192,9,https://github.com/mwpwalshe/qb-compiler/blob/master/examples/15_circuit_type_detection.py
ocblvck,novel-quantum-ensembles-iot-nid,MIT,permissive,192,1,https://github.com/ocblvck/novel-quantum-ensembles-iot-nid/blob/main/iot_multigpu.py
HelloblueAI,Bleu.js,MIT,permissive,186,6,https://github.com/HelloblueAI/Bleu.js/blob/main/src/bleujs/teleportation.py
PacktPublishing,Quantum-Computing-Algorithms,MIT,permissive,186,8,https://github.com/PacktPublishing/Quantum-Computing-Algorithms/blob/main/Chapter 2/Chapter02.ipynb
Quantinuum,qWGAN,MIT,permissive,186,11,https://github.com/Quantinuum/qWGAN/blob/master/hamiltonian_simulation/opt_hs.py
Quantinuum,text_to_discocirc,Apache-2.0,permissive,186,14,https://github.com/Quantinuum/text_to_discocirc/blob/main/discocirc/expr/coordination_expand.py
qiskit-community,qiskit-pocket-guide,Apache-2.0,permissive,186,10,https://github.com/qiskit-community/qiskit-pocket-guide/blob/main/chapter01_Quantum_Circuits_and_Operations/chapter01-1_Constructing_Quantum_Circuits.ipynb
CW00D,NISQ_Optimisation_of_QFT,MIT,permissive,180,9,https://github.com/CW00D/NISQ_Optimisation_of_QFT/blob/main/MVP/minimum_working_prototype.py
PennyLaneAI,generative-quantum-states,Apache-2.0,permissive,180,15,https://github.com/PennyLaneAI/generative-quantum-states/blob/main/Tutorial-2D-Heisenberg.ipynb
arhaverly,AssemblyToQuantumCompiler,MIT,permissive,180,1,https://github.com/arhaverly/AssemblyToQuantumCompiler/blob/main/Figures/old_figures/assembly_to_quantum_first.py
hiq-lab,arvak,Apache-2.0,permissive,180,4,https://github.com/hiq-lab/arvak/blob/main/crates/arvak-python/python/arvak/integrations/qiskit/backend.py
iqm-finland,Q_Reservoir,Apache-2.0,permissive,180,2,https://github.com/iqm-finland/Q_Reservoir/blob/main/src/circuits.py
satwiksps,qudet-dev,Apache-2.0,permissive,180,13,https://github.com/satwiksps/qudet-dev/blob/main/examples/compute_tutorial.ipynb
KOSASIH,GalacticNexus-Core,Apache-2.0,permissive,174,16,https://github.com/KOSASIH/GalacticNexus-Core/blob/main/NeuroQuantumBridge/quantum_encryption/quantum_encryption.py
c2cmpc,idris-qutrit-core,Apache-2.0,permissive,174,10,https://github.com/c2cmpc/idris-qutrit-core/blob/main.py/bell_v2.py
poig,self-research,Apache-2.0,permissive,174,6,https://github.com/poig/self-research/blob/main/Quantum_AI/QLTO/Application/analysis/run_goldilocks_crash.py
AakashShindeHelsinki,NoisyDev_Testing_and_Ent_Data_Processing,MIT,permissive,168,27,https://github.com/AakashShindeHelsinki/NoisyDev_Testing_and_Ent_Data_Processing/blob/main/src/batch_transpile_processing.py
CERN-QTI,quantum-gates,MIT,permissive,168,4,https://github.com/CERN-QTI/quantum-gates/blob/main/src/quantum_gates/_qiskit_provider/ng_backend.py
GabrielPontolillo,Quantum_Algorithm_Implementations,MIT,permissive,168,23,https://github.com/GabrielPontolillo/Quantum_Algorithm_Implementations/blob/main/Quantum Fourier Transform/Mutation Testing/QFT Mutation Testing Qiskit/Replace_mutant_2.py
KOSASIH,pi-nexus-autonomous-banking-network,Apache-2.0,permissive,168,23,https://github.com/KOSASIH/pi-nexus-autonomous-banking-network/blob/main/banking/quantum_machine_learning_fraud_detection.py
Quantinuum,hugr,Apache-2.0,permissive,168,9,https://github.com/Quantinuum/hugr/blob/main/hugr-py/src/hugr/_serialization/ops.py
Quantinuum,pytket-quantinuum,Apache-2.0,permissive,168,10,https://github.com/Quantinuum/pytket-quantinuum/blob/main/pytket/extensions/quantinuum/backends/api_wrappers.py
UCL-CCS,TN4QA,MIT,permissive,168,6,https://github.com/UCL-CCS/TN4QA/blob/main/test/test_quantum_algorithms.py
UST-QuAntiL,qhana,Apache-2.0,permissive,168,4,https://github.com/UST-QuAntiL/qhana/blob/main/qhana/backend/classification.py
apcarrik,qiskit-dev,MIT,permissive,168,9,https://github.com/apcarrik/qiskit-dev/blob/main/2. Advanced Circuits/advanced_circuits.py
iqubit-org,phoenix,Apache-2.0,permissive,168,11,https://github.com/iqubit-org/phoenix/blob/master/artifact_dac25/experiments/bench_utils.py
